Timestamp,Milliseconds,Signal Strength (dBm)
2025-02-28 14:48:27.815,1740782907815,-73
2025-02-28 14:48:28.854,1740782908854,-73
2025-02-28 14:48:29.873,1740782909873,-73
2025-02-28 14:48:30.891,1740782910891,-73
2025-02-28 14:48:31.905,1740782911905,-73
2025-02-28 14:48:32.919,1740782912919,-73
2025-02-28 14:48:33.930,1740782913930,-73
2025-02-28 14:48:34.939,1740782914939,-73
2025-02-28 14:48:35.953,1740782915953,-73
2025-02-28 14:48:36.971,1740782916971,-73
2025-02-28 14:48:37.989,1740782917989,-73
2025-02-28 14:48:39.007,1740782919007,-73
2025-02-28 14:48:40.020,1740782920020,-73
2025-02-28 14:48:41.039,1740782921039,-73
2025-02-28 14:48:42.060,1740782922060,-73
2025-02-28 14:48:43.080,1740782923080,-73
2025-02-28 14:48:44.097,1740782924097,-73
2025-02-28 14:48:45.116,1740782925116,-73
2025-02-28 14:48:46.131,1740782926131,-73
2025-02-28 14:48:47.147,1740782927147,-73
2025-02-28 14:48:48.163,1740782928163,-73
2025-02-28 14:48:49.181,1740782929181,-73
2025-02-28 14:48:50.200,1740782930200,-73
2025-02-28 14:48:51.221,1740782931221,-73
2025-02-28 14:48:52.247,1740782932247,-73
2025-02-28 14:48:53.265,1740782933265,-73
2025-02-28 14:48:54.284,1740782934284,-73
2025-02-28 14:48:55.294,1740782935294,-73
2025-02-28 14:48:56.314,1740782936314,-73
2025-02-28 14:48:57.335,1740782937335,-73
2025-02-28 14:48:58.355,1740782938355,-73
2025-02-28 14:48:59.377,1740782939377,-73
2025-02-28 14:49:00.390,1740782940390,-73
2025-02-28 14:49:01.410,1740782941410,-73
2025-02-28 14:49:02.428,1740782942428,-73
2025-02-28 14:49:03.448,1740782943448,-73
2025-02-28 14:49:04.463,1740782944463,-73
2025-02-28 14:49:05.479,1740782945479,-73
2025-02-28 14:49:06.495,1740782946495,-73
2025-02-28 14:49:07.511,1740782947511,-73
2025-02-28 14:49:08.531,1740782948531,-73
2025-02-28 14:49:09.552,1740782949552,-73
2025-02-28 14:49:10.571,1740782950571,-73
2025-02-28 14:49:11.590,1740782951590,-73
2025-02-28 14:49:12.611,1740782952611,-73
2025-02-28 14:49:13.622,1740782953622,-73
2025-02-28 14:49:14.637,1740782954637,-73
2025-02-28 14:49:15.654,1740782955654,-73
2025-02-28 14:49:16.671,1740782956671,-73
2025-02-28 14:49:17.685,1740782957685,-73
2025-02-28 14:49:18.700,1740782958700,-73
2025-02-28 14:49:19.720,1740782959720,-73
2025-02-28 14:49:20.739,1740782960739,-73
2025-02-28 14:49:21.760,1740782961760,-73
2025-02-28 14:49:22.774,1740782962774,-73
2025-02-28 14:49:23.791,1740782963791,-73
2025-02-28 14:49:24.811,1740782964811,-73
2025-02-28 14:49:25.830,1740782965830,-73
2025-02-28 14:49:26.847,1740782966847,-73
2025-02-28 14:49:27.860,1740782967860,-73
2025-02-28 14:49:28.870,1740782968870,-73
2025-02-28 14:49:29.879,1740782969879,-73
2025-02-28 14:49:30.893,1740782970893,-73
2025-02-28 14:49:31.907,1740782971907,-73
2025-02-28 14:49:32.919,1740782972919,-73
2025-02-28 14:49:33.935,1740782973935,-73
2025-02-28 14:49:34.948,1740782974948,-73
2025-02-28 14:49:35.961,1740782975961,-73
2025-02-28 14:49:36.977,1740782976977,-73
2025-02-28 14:49:37.997,1740782977997,-73
2025-02-28 14:49:39.021,1740782979021,-73
2025-02-28 14:49:40.043,1740782980043,-73
2025-02-28 14:49:41.056,1740782981056,-73
2025-02-28 14:49:42.076,1740782982076,-73
2025-02-28 14:49:43.098,1740782983098,-73
2025-02-28 14:49:44.117,1740782984117,-73
2025-02-28 14:49:45.135,1740782985135,-73
2025-02-28 14:49:46.152,1740782986152,-73
2025-02-28 14:49:47.171,1740782987171,-73
2025-02-28 14:49:48.192,1740782988192,-73
2025-02-28 14:49:49.214,1740782989214,-73
2025-02-28 14:49:50.227,1740782990227,-73
2025-02-28 14:49:51.240,1740782991240,-73
2025-02-28 14:49:52.249,1740782992249,-77
2025-02-28 14:49:53.261,1740782993261,-77
2025-02-28 14:49:54.279,1740782994279,-77
2025-02-28 14:49:55.300,1740782995300,-77
2025-02-28 14:49:56.317,1740782996317,-77
2025-02-28 14:49:57.338,1740782997338,-77
2025-02-28 14:49:58.359,1740782998359,-77
2025-02-28 14:49:59.379,1740782999379,-77
2025-02-28 14:50:00.394,1740783000394,-77
2025-02-28 14:50:01.412,1740783001412,-77
2025-02-28 14:50:02.432,1740783002432,-77
2025-02-28 14:50:03.453,1740783003453,-77
2025-02-28 14:50:04.471,1740783004471,-77
2025-02-28 14:50:05.487,1740783005487,-77
2025-02-28 14:50:06.504,1740783006504,-77
2025-02-28 14:50:07.525,1740783007525,-77
2025-02-28 14:50:08.544,1740783008544,-77
2025-02-28 14:50:09.564,1740783009564,-77
2025-02-28 14:50:10.584,1740783010584,-77
2025-02-28 14:50:11.607,1740783011607,-77
2025-02-28 14:50:12.627,1740783012627,-77
2025-02-28 14:50:13.646,1740783013646,-77
2025-02-28 14:50:14.666,1740783014666,-77
2025-02-28 14:50:15.688,1740783015688,-77
2025-02-28 14:50:16.707,1740783016707,-77
2025-02-28 14:50:17.725,1740783017725,-77
2025-02-28 14:50:18.743,1740783018743,-77
2025-02-28 14:50:19.758,1740783019758,-77
2025-02-28 14:50:20.780,1740783020780,-77
2025-02-28 14:50:21.796,1740783021796,-77
2025-02-28 14:50:22.813,1740783022813,-77
2025-02-28 14:50:23.837,1740783023837,-77
2025-02-28 14:50:24.858,1740783024858,-77
2025-02-28 14:50:25.879,1740783025879,-77
2025-02-28 14:50:26.896,1740783026896,-77
2025-02-28 14:50:27.913,1740783027913,-77
2025-02-28 14:50:28.929,1740783028929,-77
2025-02-28 14:50:29.945,1740783029945,-77
2025-02-28 14:50:30.960,1740783030960,-77
2025-02-28 14:50:31.977,1740783031977,-77
2025-02-28 14:50:32.993,1740783032993,-77
2025-02-28 14:50:34.012,1740783034012,-77
2025-02-28 14:50:35.033,1740783035033,-77
2025-02-28 14:50:36.054,1740783036054,-77
2025-02-28 14:50:37.068,1740783037068,-77
2025-02-28 14:50:38.089,1740783038089,-77
2025-02-28 14:50:39.101,1740783039101,-77
2025-02-28 14:50:40.119,1740783040119,-77
2025-02-28 14:50:41.139,1740783041139,-77
2025-02-28 14:50:42.156,1740783042156,-77
2025-02-28 14:50:43.178,1740783043178,-77
2025-02-28 14:50:44.199,1740783044199,-77
2025-02-28 14:50:45.210,1740783045210,-77
2025-02-28 14:50:46.229,1740783046229,-77
2025-02-28 14:50:47.246,1740783047246,-77
2025-02-28 14:50:48.264,1740783048264,-77
2025-02-28 14:50:49.284,1740783049284,-77
2025-02-28 14:50:50.303,1740783050303,-77
2025-02-28 14:50:51.322,1740783051322,-77
2025-02-28 14:50:52.340,1740783052340,-77
2025-02-28 14:50:53.356,1740783053356,-77
2025-02-28 14:50:54.373,1740783054373,-77
2025-02-28 14:50:55.394,1740783055394,-77
2025-02-28 14:50:56.412,1740783056412,-77
2025-02-28 14:50:57.428,1740783057428,-77
2025-02-28 14:50:58.449,1740783058449,-77
2025-02-28 14:50:59.467,1740783059467,-77
2025-02-28 14:51:00.484,1740783060484,-77
2025-02-28 14:51:01.504,1740783061504,-77
2025-02-28 14:51:02.518,1740783062518,-77
2025-02-28 14:51:03.532,1740783063532,-77
2025-02-28 14:51:04.551,1740783064551,-77
2025-02-28 14:51:05.571,1740783065571,-77
2025-02-28 14:51:06.590,1740783066590,-77
2025-02-28 14:51:07.614,1740783067614,-77
2025-02-28 14:51:08.635,1740783068635,-77
2025-02-28 14:51:09.655,1740783069655,-77
2025-02-28 14:51:10.673,1740783070673,-77
2025-02-28 14:51:11.695,1740783071695,-77
2025-02-28 14:51:12.715,1740783072715,-77
2025-02-28 14:51:13.730,1740783073730,-77
2025-02-28 14:51:14.751,1740783074751,-77
2025-02-28 14:51:15.774,1740783075774,-77
2025-02-28 14:51:16.795,1740783076795,-77
2025-02-28 14:51:17.815,1740783077815,-77
2025-02-28 14:51:18.835,1740783078835,-77
2025-02-28 14:51:19.855,1740783079855,-77
2025-02-28 14:51:20.875,1740783080875,-77
2025-02-28 14:51:21.893,1740783081893,-77
2025-02-28 14:51:22.908,1740783082908,-77
2025-02-28 14:51:23.921,1740783083921,-77
2025-02-28 14:51:24.936,1740783084936,-77
2025-02-28 14:51:25.953,1740783085953,-77
2025-02-28 14:51:26.964,1740783086964,-77
2025-02-28 14:51:27.982,1740783087982,-77
2025-02-28 14:51:28.997,1740783088997,-77
2025-02-28 14:51:30.009,1740783090009,-77
2025-02-28 14:51:31.021,1740783091021,-77
2025-02-28 14:51:32.039,1740783092039,-77
2025-02-28 14:51:33.059,1740783093059,-77
2025-02-28 14:51:34.080,1740783094080,-77
2025-02-28 14:51:35.100,1740783095100,-77
2025-02-28 14:51:36.120,1740783096120,-77
2025-02-28 14:51:37.133,1740783097133,-77
2025-02-28 14:51:38.154,1740783098154,-77
2025-02-28 14:51:39.169,1740783099169,-77
2025-02-28 14:51:40.183,1740783100183,-77
2025-02-28 14:51:41.203,1740783101203,-77
2025-02-28 14:51:42.223,1740783102223,-77
2025-02-28 14:51:43.242,1740783103242,-77
2025-02-28 14:51:44.260,1740783104260,-77
2025-02-28 14:51:45.274,1740783105274,-77
2025-02-28 14:51:46.287,1740783106287,-77
2025-02-28 14:51:47.301,1740783107301,-77
2025-02-28 14:51:48.323,1740783108323,-77
2025-02-28 14:51:49.336,1740783109336,-77
2025-02-28 14:51:50.353,1740783110353,-77
2025-02-28 14:51:51.372,1740783111372,-77
2025-02-28 14:51:52.392,1740783112392,-77
2025-02-28 14:51:53.411,1740783113411,-77
2025-02-28 14:51:54.427,1740783114427,-77
2025-02-28 14:51:55.441,1740783115441,-77
2025-02-28 14:51:56.452,1740783116452,-87
2025-02-28 14:51:57.461,1740783117461,-87
2025-02-28 14:51:58.479,1740783118479,-87
2025-02-28 14:51:59.499,1740783119499,-87
2025-02-28 14:52:00.515,1740783120515,-87
2025-02-28 14:52:01.535,1740783121535,-87
2025-02-28 14:52:02.552,1740783122552,-87
2025-02-28 14:52:03.569,1740783123569,-87
2025-02-28 14:52:04.590,1740783124590,-87
2025-02-28 14:52:05.611,1740783125611,-87
2025-02-28 14:52:06.632,1740783126632,-87
2025-02-28 14:52:07.653,1740783127653,-87
2025-02-28 14:52:08.677,1740783128677,-87
2025-02-28 14:52:09.698,1740783129698,-87
2025-02-28 14:52:10.720,1740783130720,-87
2025-02-28 14:52:11.737,1740783131737,-87
2025-02-28 14:52:12.758,1740783132758,-87
2025-02-28 14:52:13.783,1740783133783,-87
2025-02-28 14:52:14.802,1740783134802,-87
2025-02-28 14:52:15.823,1740783135823,-87
2025-02-28 14:52:16.842,1740783136842,-87
2025-02-28 14:52:17.862,1740783137862,-87
2025-02-28 14:52:18.881,1740783138881,-87
2025-02-28 14:52:19.902,1740783139902,-87
2025-02-28 14:52:20.924,1740783140924,-87
2025-02-28 14:52:21.944,1740783141944,-87
2025-02-28 14:52:22.960,1740783142960,-87
2025-02-28 14:52:23.979,1740783143979,-87
2025-02-28 14:52:25.002,1740783145002,-87
2025-02-28 14:52:26.019,1740783146019,-87
2025-02-28 14:52:27.040,1740783147040,-87
2025-02-28 14:52:28.060,1740783148060,-87
2025-02-28 14:52:29.080,1740783149080,-87
2025-02-28 14:52:30.095,1740783150095,-87
2025-02-28 14:52:31.115,1740783151115,-87
2025-02-28 14:52:32.135,1740783152135,-87
2025-02-28 14:52:33.155,1740783153155,-87
2025-02-28 14:52:34.175,1740783154175,-87
2025-02-28 14:52:35.196,1740783155196,-87
2025-02-28 14:52:36.213,1740783156213,-87
2025-02-28 14:52:37.225,1740783157225,-87
2025-02-28 14:52:38.245,1740783158245,-87
2025-02-28 14:52:39.264,1740783159264,-87
2025-02-28 14:52:40.285,1740783160285,-87
2025-02-28 14:52:41.305,1740783161305,-87
2025-02-28 14:52:42.327,1740783162327,-87
2025-02-28 14:52:43.347,1740783163347,-87
2025-02-28 14:52:44.363,1740783164363,-87
2025-02-28 14:52:45.378,1740783165378,-87
2025-02-28 14:52:46.394,1740783166394,-87
2025-02-28 14:52:47.413,1740783167413,-87
2025-02-28 14:52:48.430,1740783168430,-87
2025-02-28 14:52:49.453,1740783169453,-87
2025-02-28 14:52:50.475,1740783170475,-87
2025-02-28 14:52:51.492,1740783171492,-87
2025-02-28 14:52:52.509,1740783172509,-87
2025-02-28 14:52:53.531,1740783173531,-87
2025-02-28 14:52:54.551,1740783174551,-87
2025-02-28 14:52:55.572,1740783175572,-87
2025-02-28 14:52:56.593,1740783176593,-87
2025-02-28 14:52:57.615,1740783177615,-87
2025-02-28 14:52:58.635,1740783178635,-87
2025-02-28 14:52:59.652,1740783179652,-87
2025-02-28 14:53:00.667,1740783180667,-87
2025-02-28 14:53:01.683,1740783181683,-87
2025-02-28 14:53:02.707,1740783182707,-87
2025-02-28 14:53:03.718,1740783183718,-87
2025-02-28 14:53:04.737,1740783184737,-87
2025-02-28 14:53:05.755,1740783185755,-87
2025-02-28 14:53:06.774,1740783186774,-87
2025-02-28 14:53:07.790,1740783187790,-87
2025-02-28 14:53:08.811,1740783188811,-87
2025-02-28 14:53:09.831,1740783189831,-87
2025-02-28 14:53:10.847,1740783190847,-87
2025-02-28 14:53:11.867,1740783191867,-87
2025-02-28 14:53:12.883,1740783192883,-87
2025-02-28 14:53:13.897,1740783193897,-87
2025-02-28 14:53:14.915,1740783194915,-87
2025-02-28 14:53:15.934,1740783195934,-87
2025-02-28 14:53:16.951,1740783196951,-87
2025-02-28 14:53:17.966,1740783197966,-87
2025-02-28 14:53:18.977,1740783198977,-87
2025-02-28 14:53:19.986,1740783199986,-87
2025-02-28 14:53:20.995,1740783200995,-87
2025-02-28 14:53:22.007,1740783202007,-87
2025-02-28 14:53:23.022,1740783203022,-87
2025-02-28 14:53:24.037,1740783204037,-87
2025-02-28 14:53:25.055,1740783205055,-87
2025-02-28 14:53:26.072,1740783206072,-87
2025-02-28 14:53:27.089,1740783207089,-87
2025-02-28 14:53:28.111,1740783208111,-87
2025-02-28 14:53:29.129,1740783209129,-87
2025-02-28 14:53:30.148,1740783210148,-87
2025-02-28 14:53:31.168,1740783211168,-87
2025-02-28 14:53:32.187,1740783212187,-87
2025-02-28 14:53:33.206,1740783213206,-87
2025-02-28 14:53:34.224,1740783214224,-87
2025-02-28 14:53:35.247,1740783215247,-87
2025-02-28 14:53:36.266,1740783216266,-87
2025-02-28 14:53:37.283,1740783217283,-87
2025-02-28 14:53:38.305,1740783218305,-87
2025-02-28 14:53:39.324,1740783219324,-87
2025-02-28 14:53:40.344,1740783220344,-87
2025-02-28 14:53:41.364,1740783221364,-87
2025-02-28 14:53:42.385,1740783222385,-87
2025-02-28 14:53:43.405,1740783223405,-87
2025-02-28 14:53:44.424,1740783224424,-87
2025-02-28 14:53:45.445,1740783225445,-87
2025-02-28 14:53:46.458,1740783226458,-87
2025-02-28 14:53:47.472,1740783227472,-87
2025-02-28 14:53:48.488,1740783228488,-87
2025-02-28 14:53:49.501,1740783229501,-87
2025-02-28 14:53:50.525,1740783230525,-87
2025-02-28 14:53:51.546,1740783231546,-87
2025-02-28 14:53:52.567,1740783232567,-87
2025-02-28 14:53:53.589,1740783233589,-87
2025-02-28 14:53:54.602,1740783234602,-87
2025-02-28 14:53:55.618,1740783235618,-87
2025-02-28 14:53:56.635,1740783236635,-87
2025-02-28 14:53:57.655,1740783237655,-87
2025-02-28 14:53:58.673,1740783238673,-87
2025-02-28 14:53:59.694,1740783239694,-87
2025-02-28 14:54:00.713,1740783240713,-87
2025-02-28 14:54:01.735,1740783241735,-87
2025-02-28 14:54:02.755,1740783242755,-87
2025-02-28 14:54:03.776,1740783243776,-87
2025-02-28 14:54:04.795,1740783244795,-87
2025-02-28 14:54:05.815,1740783245815,-87
2025-02-28 14:54:06.838,1740783246838,-87
2025-02-28 14:54:07.856,1740783247856,-87
2025-02-28 14:54:08.874,1740783248874,-87
2025-02-28 14:54:09.894,1740783249894,-87
2025-02-28 14:54:10.914,1740783250914,-87
2025-02-28 14:54:11.935,1740783251935,-87
2025-02-28 14:54:12.958,1740783252958,-87
2025-02-28 14:54:13.965,1740783253965,-87
2025-02-28 14:54:14.984,1740783254984,-87
2025-02-28 14:54:16.001,1740783256001,-87
2025-02-28 14:54:17.021,1740783257021,-87
2025-02-28 14:54:18.041,1740783258041,-87
2025-02-28 14:54:19.060,1740783259060,-87
2025-02-28 14:54:20.079,1740783260079,-87
2025-02-28 14:54:21.099,1740783261099,-87
2025-02-28 14:54:22.117,1740783262117,-87
2025-02-28 14:54:23.136,1740783263136,-87
2025-02-28 14:54:24.155,1740783264155,-87
2025-02-28 14:54:25.176,1740783265176,-87
2025-02-28 14:54:26.199,1740783266199,-87
2025-02-28 14:54:27.218,1740783267218,-87
2025-02-28 14:54:28.235,1740783268235,-87
2025-02-28 14:54:29.256,1740783269256,-87
2025-02-28 14:54:30.275,1740783270275,-87
2025-02-28 14:54:31.296,1740783271296,-87
2025-02-28 14:54:32.318,1740783272318,-87
2025-02-28 14:54:33.339,1740783273339,-87
2025-02-28 14:54:34.359,1740783274359,-87
2025-02-28 14:54:35.377,1740783275377,-87
2025-02-28 14:54:36.396,1740783276396,-87
2025-02-28 14:54:37.414,1740783277414,-87
2025-02-28 14:54:38.425,1740783278425,-87
2025-02-28 14:54:39.443,1740783279443,-87
2025-02-28 14:54:40.462,1740783280462,-87
2025-02-28 14:54:41.483,1740783281483,-87
2025-02-28 14:54:42.502,1740783282502,-87
2025-02-28 14:54:43.524,1740783283524,-87
2025-02-28 14:54:44.547,1740783284547,-87
2025-02-28 14:54:45.567,1740783285567,-87
2025-02-28 14:54:46.586,1740783286586,-87
2025-02-28 14:54:47.601,1740783287601,-87
2025-02-28 14:54:48.617,1740783288617,-87
2025-02-28 14:54:49.637,1740783289637,-87
2025-02-28 14:54:50.658,1740783290658,-87
2025-02-28 14:54:51.677,1740783291677,-87
2025-02-28 14:54:52.696,1740783292696,-87
2025-02-28 14:54:53.719,1740783293719,-87
2025-02-28 14:54:54.735,1740783294735,-87
2025-02-28 14:54:55.752,1740783295752,-87
2025-02-28 14:54:56.769,1740783296769,-87
2025-02-28 14:54:57.786,1740783297786,-87
2025-02-28 14:54:58.803,1740783298803,-87
2025-02-28 14:54:59.821,1740783299821,-87
2025-02-28 14:55:00.840,1740783300840,-87
2025-02-28 14:55:01.859,1740783301859,-87
2025-02-28 14:55:02.881,1740783302881,-87
2025-02-28 14:55:03.896,1740783303896,-87
2025-02-28 14:55:04.916,1740783304916,-87
2025-02-28 14:55:05.929,1740783305929,-87
2025-02-28 14:55:06.946,1740783306946,-87
2025-02-28 14:55:07.966,1740783307966,-87
2025-02-28 14:55:08.984,1740783308984,-87
2025-02-28 14:55:09.998,1740783309998,-87
2025-02-28 14:55:11.014,1740783311014,-87
2025-02-28 14:55:12.031,1740783312031,-87
2025-02-28 14:55:13.050,1740783313050,-87
2025-02-28 14:55:14.075,1740783314075,-87
2025-02-28 14:55:15.092,1740783315092,-87
2025-02-28 14:55:16.111,1740783316111,-87
2025-02-28 14:55:17.130,1740783317130,-87
2025-02-28 14:55:18.151,1740783318151,-87
2025-02-28 14:55:19.168,1740783319168,-87
2025-02-28 14:55:20.189,1740783320189,-87
2025-02-28 14:55:21.208,1740783321208,-87
2025-02-28 14:55:22.228,1740783322228,-87
2025-02-28 14:55:23.244,1740783323244,-87
2025-02-28 14:55:24.263,1740783324263,-87
2025-02-28 14:55:25.282,1740783325282,-87
2025-02-28 14:55:26.304,1740783326304,-87
2025-02-28 14:55:27.324,1740783327324,-87
2025-02-28 14:55:28.339,1740783328339,-87
2025-02-28 14:55:29.356,1740783329356,-87
2025-02-28 14:55:30.374,1740783330374,-87
2025-02-28 14:55:31.392,1740783331392,-87
2025-02-28 14:55:32.412,1740783332412,-87
2025-02-28 14:55:33.433,1740783333433,-87
2025-02-28 14:55:34.456,1740783334456,-87
2025-02-28 14:55:35.470,1740783335470,-87
2025-02-28 14:55:36.490,1740783336490,-87
2025-02-28 14:55:37.511,1740783337511,-87
2025-02-28 14:55:38.528,1740783338528,-87
2025-02-28 14:55:39.549,1740783339549,-87
2025-02-28 14:55:40.571,1740783340571,-87
2025-02-28 14:55:41.585,1740783341585,-87
2025-02-28 14:55:42.607,1740783342607,-87
2025-02-28 14:55:43.630,1740783343630,-87
2025-02-28 14:55:44.650,1740783344650,-87
2025-02-28 14:55:45.670,1740783345670,-87
2025-02-28 14:55:46.691,1740783346691,-87
2025-02-28 14:55:47.710,1740783347710,-87
2025-02-28 14:55:48.731,1740783348731,-87
2025-02-28 14:55:49.753,1740783349753,-87
2025-02-28 14:55:50.765,1740783350765,-87
2025-02-28 14:55:51.776,1740783351776,-87
2025-02-28 14:55:52.797,1740783352797,-87
2025-02-28 14:55:53.809,1740783353809,-87
2025-02-28 14:55:54.829,1740783354829,-87
2025-02-28 14:55:55.848,1740783355848,-87
2025-02-28 14:55:56.868,1740783356868,-87
2025-02-28 14:55:57.882,1740783357882,-87
2025-02-28 14:55:58.897,1740783358897,-87
2025-02-28 14:55:59.910,1740783359910,-87
2025-02-28 14:56:00.930,1740783360930,-87
2025-02-28 14:56:01.946,1740783361946,-87
2025-02-28 14:56:02.967,1740783362967,-87
2025-02-28 14:56:03.986,1740783363986,-87
2025-02-28 14:56:05.002,1740783365002,-87
2025-02-28 14:56:06.020,1740783366020,-87
2025-02-28 14:56:07.035,1740783367035,-87
2025-02-28 14:56:08.055,1740783368055,-87
2025-02-28 14:56:09.065,1740783369065,-87
2025-02-28 14:56:10.081,1740783370081,-87
2025-02-28 14:56:11.102,1740783371102,-87
2025-02-28 14:56:12.120,1740783372120,-87
2025-02-28 14:56:13.138,1740783373138,-87
2025-02-28 14:56:14.161,1740783374161,-87
2025-02-28 14:56:15.179,1740783375179,-87
2025-02-28 14:56:16.195,1740783376195,-87
2025-02-28 14:56:17.213,1740783377213,-87
2025-02-28 14:56:18.234,1740783378234,-87
2025-02-28 14:56:19.253,1740783379253,-87
2025-02-28 14:56:20.266,1740783380266,-87
2025-02-28 14:56:21.286,1740783381286,-87
2025-02-28 14:56:22.295,1740783382295,-87
2025-02-28 14:56:23.301,1740783383301,-87
2025-02-28 14:56:24.309,1740783384309,-87
2025-02-28 14:56:25.319,1740783385319,-87
2025-02-28 14:56:26.326,1740783386326,-87
2025-02-28 14:56:27.334,1740783387334,-87
2025-02-28 14:56:28.346,1740783388346,-87
2025-02-28 14:56:29.355,1740783389355,-87
2025-02-28 14:56:30.361,1740783390361,-87
