Milliseconds,Signal Strength (dBm)
1739402960774,-74
1739402960774,-74
1739402960877,-74
1739402961000,-74
1739402961068,-74
1739402961206,-74
1739402961325,-74
1739402961382,-74
1739402961436,-74
1739402961572,-74
1739402961689,-74
1739402961748,-74
1739402961795,-74
1739402961867,-74
1739402961989,-74
1739402962093,-74
1739402962189,-74
1739402962305,-74
1739402962393,-74
1739402962451,-74
1739402962501,-74
1739402962562,-74
1739402962678,-74
1739402962809,-74
1739402962820,-74
1739402962878,-74
1739402963020,-74
1739402963076,-74
1739402963161,-74
1739402963214,-74
1739402963287,-74
1739402963346,-74
1739402963410,-74
1739402963474,-74
1739402963617,-74
1739402963757,-74
1739402963828,-74
1739402963894,-74
1739402963985,-74
1739402964111,-74
1739402964162,-74
1739402964221,-74
1739402964365,-74
1739402964437,-74
1739402964494,-74
1739402964598,-74
1739402964684,-74
1739402964825,-74
1739402964842,-74
1739402964965,-74
1739402965062,-74
1739402965132,-74
1739402965220,-74
1739402965272,-74
1739402965352,-74
1739402965481,-74
1739402965598,-74
1739402965738,-74
1739402965801,-74
1739402965858,-74
1739402965875,-74
1739402966021,-74
1739402966090,-74
1739402966226,-74
1739402966369,-74
1739402966433,-74
1739402966518,-74
1739402966578,-74
1739402966666,-74
1739402966803,-74
1739402966864,-74
1739402966872,-74
1739402966979,-74
1739402967078,-74
1739402967194,-74
1739402967252,-74
1739402967342,-74
1739402967421,-74
1739402967530,-74
1739402967675,-74
1739402967742,-74
1739402967852,-74
1739402967887,-74
1739402967997,-74
1739402968052,-74
1739402968172,-74
1739402968240,-74
1739402968297,-74
1739402968425,-74
1739402968525,-74
1739402968665,-74
1739402968792,-74
1739402968908,-74
1739402968921,-74
1739402969004,-74
1739402969116,-74
1739402969228,-74
1739402969290,-74
1739402969352,-74
1739402969439,-74
1739402969530,-74
1739402969584,-74
1739402969678,-74
1739402969768,-74
1739402969867,-74
1739402969929,-74
1739402969939,-74
1739402969995,-74
1739402970098,-74
1739402970155,-74
1739402970262,-74
1739402970360,-74
1739402970457,-74
1739402970514,-74
1739402970642,-74
1739402970698,-74
1739402970782,-74
1739402970894,-74
1739402970940,-74
1739402971020,-74
1739402971111,-74
1739402971171,-74
1739402971290,-74
1739402971344,-74
1739402971459,-74
1739402971551,-74
1739402971632,-74
1739402971749,-74
1739402971825,-74
1739402971950,-74
1739402971962,-74
1739402972004,-74
1739402972099,-74
1739402972207,-74
1739402972263,-74
1739402972316,-74
1739402972369,-74
1739402972420,-74
1739402972516,-74
1739402972596,-74
1739402972734,-74
1739402972793,-74
1739402972908,-74
1739402972988,-74
1739402973035,-74
1739402973176,-74
1739402973248,-74
1739402973322,-74
1739402973412,-74
1739402973502,-74
1739402973593,-74
1739402973700,-74
1739402973815,-74
1739402973865,-74
1739402973982,-74
1739402974003,-74
1739402974094,-74
1739402974156,-74
1739402974226,-74
1739402974282,-74
1739402974372,-74
1739402974507,-74
1739402974646,-74
1739402974750,-74
1739402974851,-74
1739402974943,-74
1739402975019,-74
1739402975081,-74
1739402975162,-74
1739402975257,-74
1739402975324,-74
1739402975469,-74
1739402975537,-74
1739402975632,-74
1739402975780,-74
1739402975919,-74
1739402976042,-74
1739402976043,-74
1739402976181,-74
1739402976256,-74
1739402976374,-74
1739402976466,-74
1739402976527,-74
1739402976653,-74
1739402976735,-74
1739402976803,-74
1739402976855,-74
1739402976922,-74
1739402977066,-74
1739402977071,-74
1739402977214,-74
1739402977334,-74
1739402977464,-74
1739402977515,-74
1739402977639,-74
1739402977703,-74
1739402977785,-74
1739402977920,-74
1739402978058,-74
1739402978092,-74
1739402978180,-74
1739402978269,-74
1739402978390,-74
1739402978529,-74
1739402978619,-74
1739402978676,-74
1739402978728,-74
1739402978859,-74
1739402978982,-74
1739402979114,-74
1739402979126,-74
1739402979224,-74
1739402979299,-74
1739402979429,-74
1739402979493,-74
1739402979573,-74
1739402979672,-74
1739402979798,-74
1739402979942,-74
1739402980058,-74
1739402980132,-74
1739402980182,-74
1739402980265,-74
1739402980410,-74
1739402980499,-74
1739402980596,-74
1739402980700,-74
1739402980792,-74
1739402980933,-74
1739402981065,-74
1739402981148,-74
1739402981206,-74
1739402981281,-74
1739402981341,-74
1739402981438,-74
1739402981511,-74
1739402981653,-74
1739402981717,-74
1739402981801,-74
1739402981941,-74
1739402982085,-74
1739402982235,-74
1739402982337,-74
1739402982475,-74
1739402982525,-74
1739402982662,-74
1739402982751,-74
1739402982845,-74
1739402982908,-74
1739402982960,-74
1739402983039,-74
1739402983116,-74
1739402983181,-74
1739402983241,-74
1739402983315,-74
1739402983444,-74
1739402983527,-74
1739402983603,-74
1739402983699,-74
1739402983781,-74
1739402983922,-74
1739402984061,-74
1739402984205,-74
1739402984345,-74
1739402984431,-74
1739402984490,-74
1739402984611,-74
1739402984697,-74
1739402984803,-74
1739402984889,-74
1739402984957,-74
1739402985036,-74
1739402985115,-74
1739402985168,-74
1739402985221,-74
1739402985295,-74
1739402985402,-74
1739402985527,-74
1739402985626,-74
1739402985700,-74
1739402985822,-74
1739402985906,-74
1739402985966,-74
1739402986093,-74
1739402986171,-74
1739402986315,-74
1739402986404,-74
1739402986466,-74
1739402986549,-74
1739402986659,-74
1739402986775,-74
1739402986908,-74
1739402986962,-74
1739402987099,-74
1739402987191,-74
1739402987248,-74
1739402987328,-74
1739402987427,-74
1739402987573,-74
1739402987654,-74
1739402987747,-74
1739402987850,-74
1739402987911,-74
1739402988025,-74
1739402988143,-74
1739402988231,-74
1739402988355,-74
1739402988443,-74
1739402988499,-74
1739402988555,-74
1739402988610,-74
1739402988666,-74
1739402988768,-74
1739402988908,-74
1739402989037,-74
1739402989108,-74
1739402989226,-74
1739402989340,-74
1739402989466,-74
1739402989595,-74
1739402989721,-74
1739402989782,-74
1739402989885,-74
1739402989987,-74
1739402990083,-74
1739402990223,-74
1739402990298,-74
1739402990358,-74
1739402990467,-74
1739402990562,-74
1739402990661,-74
1739402990791,-74
1739402990941,-74
1739402991078,-74
1739402991149,-74
1739402991202,-74
1739402991338,-74
1739402991428,-74
1739402991549,-74
1739402991668,-74
1739402991817,-74
1739402991874,-74
1739402991927,-74
1739402992038,-74
1739402992139,-74
1739402992259,-74
1739402992378,-74
1739402992475,-74
1739402992541,-74
1739402992601,-74
1739402992667,-74
1739402992730,-74
1739402992824,-74
1739402992958,-74
1739402993015,-74
1739402993143,-74
1739402993292,-74
1739402993361,-74
1739402993440,-74
1739402993572,-74
1739402993691,-74
1739402993752,-74
1739402993826,-74
1739402993956,-74
1739402994036,-74
1739402994157,-74
1739402994230,-74
1739402994308,-74
1739402994436,-74
1739402994558,-74
1739402994663,-74
1739402994733,-74
1739402994814,-74
1739402994895,-74
1739402994987,-74
1739402995098,-74
1739402995220,-74
1739402995315,-74
1739402995454,-74
1739402995602,-74
1739402995677,-74
1739402995805,-74
1739402995952,-74
1739402996031,-74
1739402996157,-74
1739402996216,-74
1739402996302,-74
1739402996414,-74
1739402996553,-74
1739402996623,-74
1739402996773,-74
1739402996850,-74
1739402996978,-74
1739402997081,-74
1739402997177,-74
1739402997321,-74
1739402997378,-74
1739402997503,-74
1739402997564,-74
1739402997686,-74
1739402997773,-74
1739402997889,-74
1739402998009,-74
1739402998149,-74
1739402998253,-74
1739402998384,-74
1739402998442,-74
1739402998521,-74
1739402998575,-74
1739402998645,-74
1739402998767,-74
1739402998844,-74
1739402998936,-74
1739402999018,-74
1739402999082,-74
1739402999177,-74
1739402999228,-74
1739402999291,-74
1739402999355,-74
1739402999434,-74
1739402999563,-74
1739402999695,-74
1739402999821,-74
1739402999924,-74
1739403000042,-74
1739403000183,-74
1739403000311,-74
1739403000384,-74
1739403000462,-74
1739403000567,-74
1739403000675,-74
1739403000793,-74
1739403000848,-74
1739403000996,-74
1739403001105,-74
1739403001169,-74
1739403001316,-74
1739403001410,-74
1739403001497,-74
1739403001644,-74
1739403001728,-74
1739403001787,-74
1739403001840,-74
1739403001974,-74
1739403002051,-74
1739403002146,-74
1739403002205,-74
1739403002278,-74
1739403002417,-74
1739403002553,-74
1739403002633,-74
1739403002747,-74
1739403002856,-74
1739403002910,-74
1739403003045,-74
1739403003128,-74
1739403003196,-74
1739403003285,-74
1739403003420,-74
1739403003518,-74
1739403003603,-74
1739403003664,-74
1739403003772,-74
1739403003837,-74
1739403003922,-74
1739403004039,-74
1739403004180,-74
1739403004281,-74
1739403004419,-74
1739403004555,-74
1739403004681,-74
1739403004796,-74
1739403004923,-74
1739403004973,-74
1739403005064,-74
1739403005211,-74
1739403005276,-74
1739403005374,-74
1739403005444,-74
1739403005589,-74
1739403005703,-74
1739403005812,-74
1739403005911,-74
1739403006009,-74
1739403006085,-74
1739403006198,-74
1739403006319,-74
1739403006419,-74
1739403006485,-74
1739403006587,-74
1739403006662,-74
1739403006779,-74
1739403006865,-74
1739403007001,-74
1739403007097,-74
1739403007220,-74
1739403007355,-74
1739403007441,-74
1739403007553,-74
1739403007648,-74
1739403007732,-74
1739403007791,-74
1739403007846,-74
1739403007905,-74
1739403007998,-74
1739403008093,-74
1739403008169,-74
1739403008265,-74
1739403008345,-74
1739403008465,-74
1739403008531,-74
1739403008591,-74
1739403008710,-74
1739403008849,-74
1739403008913,-74
1739403009043,-74
1739403009139,-74
1739403009251,-74
1739403009303,-74
1739403009419,-74
1739403009555,-74
1739403009662,-74
1739403009799,-74
1739403009898,-74
1739403009999,-74
1739403010121,-74
1739403010193,-74
1739403010300,-74
1739403010445,-74
1739403010502,-74
1739403010651,-74
1739403010713,-74
1739403010842,-74
1739403010900,-74
1739403010967,-74
1739403011113,-74
1739403011181,-74
1739403011327,-74
1739403011388,-74
1739403011526,-74
1739403011652,-74
1739403011723,-74
1739403011803,-74
1739403011872,-74
1739403011996,-74
1739403012068,-74
1739403012181,-74
1739403012310,-74
1739403012456,-74
1739403012588,-74
1739403012731,-74
1739403012825,-74
1739403012892,-74
1739403013012,-74
1739403013073,-74
1739403013220,-74
1739403013271,-74
1739403013413,-74
1739403013528,-74
1739403013602,-74
1739403013684,-74
1739403013802,-74
1739403013873,-74
1739403013932,-74
1739403014064,-74
1739403014200,-74
1739403014289,-74
1739403014378,-74
1739403014481,-74
1739403014544,-74
1739403014633,-74
1739403014685,-74
1739403014831,-74
1739403014966,-74
1739403015058,-74
1739403015150,-74
1739403015220,-74
1739403015350,-74
1739403015413,-74
1739403015504,-74
1739403015650,-74
1739403015711,-74
1739403015860,-74
1739403015988,-74
1739403016097,-74
1739403016197,-74
1739403016333,-74
1739403016385,-74
1739403016517,-74
1739403016626,-74
1739403016703,-74
1739403016782,-74
1739403016927,-74
1739403017044,-74
1739403017172,-74
1739403017230,-74
1739403017362,-74
1739403017451,-74
1739403017530,-74
1739403017646,-74
1739403017764,-74
1739403017905,-74
1739403018006,-74
1739403018060,-74
1739403018192,-74
1739403018322,-74
1739403018453,-74
1739403018579,-74
1739403018644,-74
1739403018778,-74
1739403018914,-74
1739403018984,-74
1739403019041,-74
1739403019091,-74
1739403019199,-74
1739403019316,-74
1739403019373,-74
1739403019435,-74
1739403019485,-74
1739403019543,-74
1739403019657,-74
1739403019786,-74
1739403019864,-74
1739403019978,-74
1739403020051,-74
1739403020191,-74
1739403020306,-74
1739403020367,-74
1739403020497,-74
1739403020566,-74
1739403020713,-74
1739403020795,-74
1739403020887,-74
1739403020956,-74
1739403021026,-74
1739403021157,-74
1739403021298,-74
1739403021392,-74
1739403021485,-74
1739403021605,-74
1739403021701,-74
1739403021766,-74
1739403021909,-74
1739403021967,-74
1739403022074,-74
1739403022131,-74
1739403022196,-74
1739403022278,-74
1739403022405,-74
1739403022480,-74
1739403022566,-74
1739403022695,-74
1739403022845,-74
1739403022933,-74
1739403023060,-74
1739403023145,-74
1739403023256,-74
1739403023379,-74
1739403023457,-74
1739403023574,-74
1739403023667,-74
1739403023763,-74
1739403023906,-74
1739403024010,-74
1739403024067,-74
1739403024126,-74
1739403024236,-74
1739403024307,-74
1739403024439,-74
1739403024576,-74
1739403024717,-74
1739403024821,-74
1739403024930,-74
1739403025009,-74
1739403025065,-74
1739403025210,-74
1739403025316,-74
1739403025447,-74
1739403025582,-74
1739403025691,-74
1739403025765,-74
1739403025901,-74
1739403025975,-74
1739403026079,-74
1739403026160,-74
1739403026290,-74
1739403026431,-74
1739403026546,-74
1739403026645,-74
1739403026719,-74
1739403026807,-74
1739403026875,-74
1739403026936,-74
1739403027002,-74
1739403027109,-74
1739403027214,-74
1739403027322,-74
1739403027432,-74
1739403027513,-74
1739403027608,-74
1739403027728,-74
1739403027815,-74
1739403027930,-74
1739403027995,-74
1739403028062,-74
1739403028164,-74
1739403028269,-74
1739403028376,-74
1739403028451,-74
1739403028586,-74
1739403028706,-74
1739403028850,-74
1739403028901,-74
1739403028969,-74
1739403029118,-74
1739403029219,-74
1739403029308,-74
1739403029414,-74
1739403029547,-74
1739403029660,-74
1739403029743,-74
1739403029854,-74
1739403029907,-74
1739403030020,-74
1739403030150,-74
1739403030260,-74
1739403030357,-74
1739403030477,-74
1739403030577,-74
1739403030639,-74
1739403030758,-74
1739403030864,-74
1739403030975,-74
1739403031061,-74
1739403031188,-74
1739403031332,-74
1739403031431,-74
1739403031540,-74
1739403031594,-74
1739403031701,-74
1739403031846,-74
1739403031973,-74
1739403032030,-74
1739403032119,-74
1739403032213,-74
1739403032269,-74
1739403032418,-74
1739403032493,-74
1739403032623,-74
1739403032769,-74
1739403032904,-74
1739403032982,-74
1739403033093,-74
1739403033164,-74
1739403033223,-74
1739403033295,-74
1739403033348,-74
1739403033437,-74
1739403033573,-74
1739403033720,-74
1739403033787,-74
1739403033916,-74
1739403033978,-74
1739403034073,-74
1739403034203,-74
1739403034294,-74
1739403034383,-74
1739403034443,-74
1739403034541,-74
1739403034639,-74
1739403034757,-74
1739403034860,-74
1739403034956,-74
1739403035031,-74
1739403035170,-74
1739403035225,-74
1739403035286,-74
1739403035360,-74
1739403035470,-74
1739403035558,-74
1739403035669,-74
1739403035801,-74
1739403035932,-74
1739403036001,-74
1739403036098,-74
1739403036164,-74
1739403036305,-74
1739403036361,-74
1739403036442,-74
1739403036590,-74
1739403036663,-74
1739403036749,-74
1739403036870,-74
1739403036948,-74
1739403037056,-74
1739403037141,-74
1739403037211,-74
1739403037356,-74
1739403037430,-74
1739403037525,-74
1739403037638,-74
1739403037784,-74
1739403037884,-74
1739403038029,-74
1739403038173,-74
1739403038311,-74
1739403038375,-74
1739403038436,-74
1739403038545,-74
1739403038628,-74
1739403038697,-74
1739403038769,-74
1739403038872,-74
1739403039009,-74
1739403039137,-74
1739403039252,-74
1739403039389,-74
1739403039522,-74
1739403039625,-74
1739403039735,-74
1739403039864,-74
1739403039978,-74
1739403040086,-74
1739403040168,-74
1739403040314,-74
1739403040415,-74
1739403040559,-74
1739403040659,-74
1739403040764,-74
1739403040879,-74
1739403040940,-74
1739403041017,-74
1739403041094,-74
1739403041184,-74
1739403041306,-74
1739403041366,-74
1739403041501,-74
1739403041639,-74
1739403041780,-74
1739403041857,-74
1739403041963,-74
1739403042061,-74
1739403042154,-74
1739403042232,-74
1739403042316,-74
1739403042418,-74
1739403042539,-74
1739403042653,-74
1739403042770,-74
1739403042857,-74
1739403042998,-74
1739403043088,-74
1739403043214,-74
1739403043292,-74
1739403043362,-74
1739403043437,-74
1739403043579,-74
1739403043635,-74
1739403043749,-74
1739403043802,-74
1739403043917,-74
1739403044040,-74
1739403044183,-74
1739403044263,-74
1739403044316,-74
1739403044387,-74
1739403044445,-74
1739403044518,-74
1739403044658,-74
1739403044743,-74
1739403044861,-74
1739403044984,-74
1739403045078,-74
1739403045149,-74
1739403045283,-74
1739403045425,-74
1739403045480,-74
1739403045577,-74
1739403045716,-74
1739403045837,-74
1739403045981,-74
1739403046041,-74
1739403046121,-74
1739403046174,-74
1739403046307,-74
1739403046454,-74
1739403046600,-74
1739403046684,-74
1739403046833,-74
1739403046938,-74
1739403047015,-74
1739403047151,-74
1739403047259,-74
1739403047322,-74
1739403047382,-74
1739403047470,-74
1739403047589,-74
1739403047653,-74
1739403047750,-74
1739403047875,-74
1739403048000,-74
1739403048062,-74
1739403048127,-74
1739403048206,-74
1739403048334,-74
1739403048463,-74
1739403048532,-74
1739403048677,-74
1739403048793,-74
1739403048893,-74
1739403049035,-74
1739403049144,-74
1739403049267,-74
1739403049329,-74
1739403049394,-74
1739403049525,-74
1739403049581,-74
1739403049698,-74
1739403049810,-74
1739403049897,-74
1739403049986,-74
1739403050095,-74
1739403050219,-74
1739403050352,-74
1739403050426,-74
1739403050544,-74
1739403050655,-74
1739403050792,-74
1739403050888,-74
1739403050938,-74
1739403051072,-74
1739403051220,-74
1739403051339,-74
1739403051483,-74
1739403051618,-74
1739403051756,-74
1739403051900,-74
1739403052008,-74
1739403052127,-74
1739403052215,-74
1739403052310,-74
1739403052388,-74
1739403052499,-74
1739403052643,-74
1739403052764,-74
1739403052835,-74
1739403052966,-74
1739403053027,-74
1739403053171,-74
1739403053257,-74
1739403053381,-74
1739403053484,-74
1739403053607,-74
1739403053701,-74
1739403053826,-74
1739403053889,-74
1739403053965,-74
1739403054100,-74
1739403054209,-74
1739403054317,-74
1739403054446,-74
1739403054585,-74
1739403054673,-74
1739403054733,-74
1739403054795,-74
1739403054878,-74
1739403054975,-74
1739403055109,-74
1739403055187,-74
1739403055294,-74
1739403055410,-74
1739403055461,-74
1739403055590,-74
1739403055643,-74
1739403055703,-74
1739403055783,-74
1739403055894,-74
1739403056038,-74
1739403056094,-74
1739403056208,-74
1739403056280,-74
1739403056396,-74
1739403056461,-74
1739403056559,-74
1739403056707,-74
1739403056759,-74
1739403056834,-74
1739403056898,-74
1739403056960,-74
1739403057077,-74
1739403057148,-74
1739403057222,-74
1739403057280,-74
1739403057356,-74
1739403057448,-74
1739403057590,-74
1739403057662,-74
1739403057734,-74
1739403057793,-74
1739403057845,-74
1739403057992,-74
1739403058079,-74
1739403058190,-74
1739403058322,-74
1739403058427,-74
1739403058534,-74
1739403058584,-74
1739403058646,-74
1739403058740,-74
1739403058887,-74
1739403058986,-74
1739403059082,-74
1739403059204,-74
1739403059296,-74
1739403059385,-74
1739403059508,-74
1739403059647,-74
1739403059741,-74
1739403059844,-74
1739403059965,-74
1739403060016,-74
1739403060115,-74
1739403060233,-74
1739403060330,-74
1739403060465,-74
1739403060606,-74
1739403060685,-74
1739403060740,-74
1739403060858,-74
1739403060979,-74
1739403061050,-74
1739403061112,-74
1739403061204,-74
1739403061280,-74
1739403061429,-74
1739403061488,-74
1739403061609,-74
1739403061734,-74
1739403061829,-74
1739403061891,-74
1739403062013,-74
1739403062147,-74
1739403062207,-74
1739403062277,-74
1739403062327,-74
1739403062464,-74
1739403062523,-74
1739403062582,-74
1739403062701,-74
1739403062792,-74
1739403062917,-74
1739403063018,-74
1739403063167,-74
1739403063290,-74
1739403063379,-74
1739403063451,-74
1739403063591,-74
1739403063730,-74
1739403063802,-74
1739403063894,-74
1739403063962,-74
1739403064089,-74
1739403064216,-74
1739403064274,-74
1739403064364,-74
1739403064428,-74
1739403064512,-74
1739403064638,-74
1739403064763,-74
1739403064820,-74
1739403064870,-74
1739403065001,-74
1739403065108,-74
1739403065212,-74
1739403065306,-74
1739403065392,-74
1739403065531,-74
1739403065581,-74
1739403065688,-74
1739403065809,-74
1739403065869,-74
1739403065980,-74
1739403066078,-74
1739403066183,-74
1739403066266,-74
1739403066377,-74
1739403066518,-74
1739403066662,-74
1739403066802,-74
1739403066885,-74
1739403066995,-74
1739403067050,-74
1739403067129,-74
1739403067229,-74
1739403067283,-74
1739403067405,-74
1739403067498,-74
1739403067572,-74
1739403067679,-74
1739403067758,-74
1739403067882,-74
1739403068018,-74
1739403068108,-74
1739403068240,-74
1739403068369,-74
1739403068426,-74
1739403068544,-74
1739403068651,-74
1739403068797,-74
1739403068921,-74
1739403069000,-74
1739403069055,-74
1739403069199,-74
1739403069281,-74
1739403069392,-74
1739403069523,-74
1739403069623,-74
1739403069690,-74
1739403069830,-74
1739403069902,-74
1739403069979,-74
1739403070031,-74
1739403070153,-74
1739403070247,-74
1739403070383,-74
1739403070510,-74
1739403070639,-74
1739403070733,-74
1739403070796,-74
1739403070911,-74
1739403071036,-74
1739403071185,-74
1739403071274,-74
1739403071396,-74
1739403071464,-74
1739403071610,-74
1739403071744,-74
1739403071828,-74
1739403071943,-74
1739403072057,-74
1739403072174,-74
1739403072239,-74
1739403072384,-74
1739403072482,-74
1739403072539,-74
1739403072676,-74
1739403072758,-74
1739403072841,-74
1739403072903,-74
1739403072989,-74
1739403073131,-74
1739403073251,-74
1739403073340,-74
1739403073457,-74
1739403073557,-74
1739403073681,-74
1739403073829,-74
1739403073943,-74
1739403074078,-74
1739403074173,-74
1739403074289,-74
1739403074345,-74
1739403074428,-74
1739403074492,-74
1739403074555,-74
1739403074630,-74
1739403074740,-74
1739403074869,-74
1739403074933,-74
1739403075060,-74
1739403075116,-74
1739403075254,-74
1739403075316,-74
1739403075459,-74
1739403075513,-74
1739403075616,-74
1739403075702,-74
1739403075794,-74
1739403075906,-74
1739403075993,-74
1739403076052,-74
1739403076130,-74
1739403076187,-74
1739403076269,-74
1739403076335,-74
1739403076389,-74
1739403076474,-74
1739403076572,-74
1739403076703,-74
1739403076814,-74
1739403076930,-74
1739403077049,-74
1739403077147,-74
1739403077204,-74
1739403077258,-74
1739403077313,-74
1739403077392,-74
1739403077489,-74
1739403077550,-74
1739403077656,-74
1739403077729,-74
1739403077811,-74
1739403077922,-74
1739403078030,-74
1739403078156,-74
1739403078230,-74
1739403078290,-74
1739403078365,-74
1739403078440,-74
1739403078521,-74
1739403078618,-74
1739403078691,-74
1739403078755,-74
1739403078831,-74
1739403078962,-74
1739403079032,-74
1739403079155,-74
1739403079224,-74
1739403079357,-74
1739403079468,-74
1739403079556,-74
1739403079687,-74
1739403079800,-74
1739403079887,-74
1739403079987,-74
1739403080078,-74
1739403080196,-74
1739403080335,-74
1739403080433,-74
1739403080551,-74
1739403080689,-74
1739403080833,-74
1739403080963,-74
1739403081037,-74
1739403081156,-74
1739403081248,-74
1739403081346,-74
1739403081423,-74
1739403081495,-74
1739403081580,-74
1739403081641,-74
1739403081776,-74
1739403081873,-74
1739403081958,-74
1739403082071,-74
1739403082146,-74
1739403082280,-74
1739403082399,-74
1739403082454,-74
1739403082532,-74
1739403082584,-74
1739403082684,-74
1739403082791,-74
1739403082902,-74
1739403082980,-74
1739403083066,-74
1739403083204,-74
1739403083291,-74
1739403083387,-74
1739403083497,-74
1739403083618,-74
1739403083721,-74
1739403083862,-74
1739403083973,-74
1739403084043,-74
1739403084159,-74
1739403084281,-74
1739403084365,-74
1739403084475,-74
1739403084579,-74
1739403084667,-74
1739403084749,-74
1739403084825,-74
1739403084892,-74
1739403085012,-74
1739403085070,-74
1739403085161,-74
1739403085287,-74
1739403085350,-74
1739403085430,-74
